"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.427379168E-2,7.342494875E-2,-4.770977139E-2,5.122464967E-1,5.196767445E-1
2.423179167E-2,5.713972226E-2,1.716333210E-2,4.304772788E-1,4.345920103E-1
3.419079167E-2,3.908498213E-2,5.618764937E-2,3.228399789E-1,3.300156659E-1
4.414879167E-2,1.849189259E-2,7.589919806E-2,1.675648284E-1,1.848799883E-1
5.410679166E-2,1.585589468E-2,1.037781376E-1,4.039490461E-2,1.124858193E-1
6.406579167E-2,-3.288181722E-3,1.703995585E-1,5.720331073E-3,1.705272526E-1
7.402379168E-2,-8.053808659E-3,2.455105519E-1,-3.523999929E-2,2.481575155E-1
8.398279166E-2,-7.966977507E-3,2.629381782E-1,-7.007654071E-2,2.722327677E-1
9.394079167E-2,-2.143962018E-2,2.326238734E-1,-8.182944417E-2,2.475269313E-1
1.039002917E-1,-1.507602230E-2,2.590398395E-1,1.947824478E-2,2.602082376E-1
1.138582917E-1,-3.824634522E-2,2.832519901E-1,1.743423361E-1,3.347980331E-1
1.238172917E-1,-8.442458466E-2,2.708979928E-1,2.620570028E-1,3.862474670E-1
1.337752917E-1,-4.373191059E-2,2.713914979E-1,2.478704882E-1,3.701426806E-1
1.437342917E-1,-3.812399223E-2,3.405435938E-1,1.762526214E-1,3.853418801E-1
1.536922917E-1,-1.029231285E-1,4.115650445E-1,1.129483259E-1,4.390174035E-1
1.636512917E-1,-2.207030086E-1,4.861749315E-1,1.422463846E-1,5.525485644E-1
1.736092917E-1,-3.001614799E-1,6.150651062E-1,1.907507926E-1,7.104842459E-1
1.835682917E-1,-2.947723936E-1,7.262510812E-1,1.435994303E-1,7.968388754E-1
1.935262917E-1,-2.113513374E-1,7.195881790E-1,9.172644138E-2,7.555728126E-1
2.034852917E-1,-1.940598051E-1,6.849387485E-1,1.123542488E-1,7.207106037E-1
2.134432917E-1,-1.702967206E-1,6.712609416E-1,1.282458115E-1,7.043005133E-1
2.234022917E-1,-2.156647187E-1,6.526644570E-1,1.848070979E-1,7.117835540E-1
2.333602917E-1,-3.372473356E-1,6.586210155E-1,2.435821402E-1,7.790055626E-1
2.433192917E-1,-4.594253086E-1,6.774917346E-1,2.048735726E-1,8.438245347E-1
2.532772917E-1,-5.191268422E-1,7.281087416E-1,5.042755723E-2,8.956438782E-1
2.632362917E-1,-4.636977229E-1,9.685731465E-1,3.413370609E-2,1.074390352E0
2.731942917E-1,-6.301933149E-1,1.041938161E0,1.360068208E-1,1.225265931E0
2.831532917E-1,-8.123617836E-1,9.777626306E-1,7.297792912E-2,1.273293842E0
2.931112917E-1,-9.514277215E-1,8.650493628E-1,7.656811953E-2,1.288172266E0
3.030702917E-1,-1.039519241E0,7.061384135E-1,1.113836110E-1,1.261601372E0
3.130282917E-1,-9.549317385E-1,5.598410779E-1,1.612580216E-1,1.118624516E0
3.229872917E-1,-7.082955976E-1,4.315040499E-1,1.554546601E-1,8.438273224E-1
3.329452917E-1,-5.420532632E-1,2.811265272E-1,5.163091421E-2,6.127965533E-1
3.429032917E-1,-6.042047436E-1,1.573398024E-1,-8.291351795E-3,6.244100673E-1
3.528622917E-1,-8.565985282E-1,7.126644909E-2,1.952443779E-2,8.597797095E-1
3.628202917E-1,-1.128248985E0,-9.319058418E-2,7.692070663E-2,1.134701305E0
3.727792917E-1,-1.370916840E0,-2.401276052E-1,1.805783916E-1,1.403453884E0
3.827372917E-1,-1.603100564E0,-2.641017741E-1,3.925779659E-1,1.671466010E0
3.926962917E-1,-1.741165312E0,-2.042432427E-1,5.589248192E-1,1.840045896E0
4.026542917E-1,-1.657996856E0,-1.283797127E-1,5.905793059E-1,1.764714946E0
