"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.557425000E-2,-4.959315956E-1,-2.829789251E-1,-1.656672900E0,1.752309994E0
2.553225000E-2,-5.062589478E-1,-4.605588645E-1,-1.198444151E0,1.380101798E0
3.549125000E-2,-3.792679489E-2,-4.817263699E-1,-3.977416420E-1,6.258571330E-1
4.545025000E-2,5.172587299E-1,-3.805724627E-1,1.578374004E-1,6.612901315E-1
5.540925000E-2,7.918600568E-1,-1.907396829E-1,1.744756526E-1,8.329860320E-1
6.536825000E-2,7.418964761E-1,-2.553905922E-1,-5.444167078E-2,7.865104141E-1
7.532625000E-2,4.943940702E-1,-2.745910943E-1,-1.673274314E-1,5.897662546E-1
8.528525000E-2,5.052631670E-1,-1.400221038E-1,-3.568111324E-1,6.342012628E-1
9.524425000E-2,3.374340445E-1,6.632204354E-1,-6.957683766E-1,1.018732896E0
1.052032500E-1,6.311665839E-1,4.976629561E-1,-9.884846699E-1,1.274025752E0
1.151622500E-1,6.809819376E-1,6.044266820E-3,-7.981285644E-1,1.049181651E0
1.251202500E-1,5.097294165E-1,-1.568568224E-1,-2.322788876E-1,5.817057868E-1
1.350792500E-1,2.527714781E-1,-1.571263790E-1,5.056023055E-1,5.866990800E-1
1.450382500E-1,-2.507300690E-2,-9.814025223E-2,1.248529061E0,1.252631223E0
1.549972500E-1,-1.891347684E-1,-2.665160894E-3,1.715207621E0,1.725606052E0
1.649552500E-1,-1.348046333E-1,7.914849579E-2,1.824879168E0,1.831562380E0
1.749142500E-1,3.798658267E-2,2.042631233E-1,1.585260270E0,1.598817228E0
1.848732500E-1,8.233464360E-2,2.169638604E-1,1.151117957E0,1.174276313E0
1.948322500E-1,5.949717343E-2,1.333171016E-1,6.070994443E-1,6.244061967E-1
2.047912500E-1,3.895341977E-2,7.927011788E-2,-1.893024373E-1,2.088935932E-1
2.147492500E-1,-1.183051063E-1,-1.525889397E-2,-8.756538731E-1,8.837412729E-1
2.247082500E-1,-4.533046626E-1,-1.923090756E-1,-1.145171923E0,1.246549891E0
2.346670417E-1,-6.604887624E-1,-2.465303063E-1,-1.057059061E0,1.270589019E0
2.446260417E-1,-5.467167100E-1,-1.604815114E-1,-6.135296273E-1,8.373004718E-1
2.545840417E-1,-2.427155828E-1,8.808830380E-3,-7.935607195E-2,2.555109309E-1
2.645430417E-1,3.049527615E-2,1.633121485E-1,3.827388561E-1,4.172407598E-1
2.745020417E-1,3.046200550E-1,1.935293895E-1,6.595232409E-1,7.518097551E-1
2.844610417E-1,5.589439689E-1,7.983262002E-2,7.603748471E-1,9.470805222E-1
2.944200417E-1,6.767184404E-1,-1.432795876E-1,7.836689848E-1,1.045281764E0
3.043780417E-1,8.409203888E-1,-3.738861716E-1,8.549675936E-1,1.256147904E0
3.143370417E-1,9.819967456E-1,-5.651328081E-1,9.301469994E-1,1.465901136E0
3.242960417E-1,1.011030364E0,-5.430893898E-1,6.537128627E-1,1.320783476E0
3.342550417E-1,8.825525643E-1,-4.713522398E-1,6.064936727E-1,1.170002794E0
3.442130417E-1,8.268927723E-1,-3.259553754E-1,7.243793875E-1,1.146614173E0
3.541720417E-1,4.578945807E-1,-2.472629625E-1,5.891619408E-1,7.860777392E-1
3.641310417E-1,5.431917161E-2,-2.587369537E-1,3.194450855E-1,4.146571431E-1
3.740900417E-1,-1.124071661E-1,-1.063491583E-1,-8.955186188E-2,1.787877245E-1
3.840490417E-1,-2.216856332E-1,2.338476956E-2,-5.999629176E-1,6.400366160E-1
3.940070417E-1,-5.651597053E-2,1.896368980E-1,-8.879651856E-1,9.097463267E-1
4.039660417E-1,5.692249820E-2,3.890339684E-1,-8.059439528E-1,8.967347738E-1
4.139250417E-1,1.061693564E-2,5.143117332E-1,-2.375694484E-1,5.666290860E-1
4.238840417E-1,8.580204248E-2,5.440629512E-1,3.887281591E-1,6.741484013E-1
4.338420417E-1,1.691925471E-1,5.873750317E-1,7.431898803E-1,9.622716581E-1
4.438010417E-1,-1.956054434E-2,2.728106171E-1,9.339775103E-1,9.732020538E-1
4.537600417E-1,-1.508305357E-1,-2.218807840E-1,1.035243684E0,1.069443976E0
4.637190417E-1,-6.572182685E-2,-6.386042422E-1,7.783018255E-1,1.008904588E0
4.736780417E-1,1.806794022E-1,-9.468817306E-1,3.796486026E-1,1.036032393E0
4.836360417E-1,1.140238335E0,-1.036430084E0,-7.335448980E-2,1.542631408E0
4.935950417E-1,1.932433145E0,-6.431878746E-1,-5.257611662E-1,2.103428940E0
5.035540417E-1,4.532875594E-1,1.022112592E0,-7.332677400E-1,1.337110818E0
5.135130417E-1,1.694368145E-1,1.635489607E0,-1.230626056E0,2.053771063E0
5.234710417E-1,7.247734898E-1,1.217294989E0,-1.293025787E0,1.918077003E0
5.334300417E-1,6.310645500E-1,1.102265055E0,-9.831490856E-1,1.606179579E0
5.433890417E-1,5.651775393E-1,1.039361878E0,-9.418238890E-1,1.512194102E0
5.533480417E-1,7.328791925E-1,1.024028140E0,-9.951732999E-1,1.605028174E0
5.633070417E-1,1.002934602E0,1.262573488E0,-1.005246298E0,1.900128877E0
5.732650417E-1,8.982117002E-1,1.293944385E0,-9.972057921E-1,1.864268146E0
5.832240417E-1,6.559242797E-1,1.208487913E0,-1.196022234E0,1.822401954E0
5.931830417E-1,1.295747082E0,1.084705866E0,-1.382502220E0,2.183313927E0
6.031420417E-1,1.493623145E0,1.182422195E0,-1.308205744E0,2.310938038E0
6.131000417E-1,1.193527958E0,1.336742203E0,-9.842191261E-1,2.044523414E0
6.230590417E-1,1.038265817E0,1.014797725E0,-6.496765298E-1,1.590562770E0
6.330180417E-1,5.351082328E-1,4.465857732E-1,-4.384809476E-1,8.234350096E-1
6.429770417E-1,-3.715765214E-1,3.788703382E-3,-2.469179767E-1,4.461523874E-1
6.529360417E-1,-4.675736229E-1,-5.206740886E-1,-2.007179564E-1,7.280208084E-1
6.628940417E-1,-7.987533394E-1,-7.340439579E-1,-3.957342929E-1,1.154743720E0
6.728530417E-1,-9.078249612E-1,-7.490306640E-1,-4.326922041E-1,1.253959983E0
6.828120417E-1,-4.554293945E-1,-6.476916924E-1,-1.675279909E-1,8.093121089E-1
6.927710417E-1,5.636584327E-2,-1.846734890E-1,1.388228399E-1,2.378091392E-1
7.027290417E-1,5.066078804E-2,3.888079736E-1,7.224234939E-1,8.219695008E-1
7.126880417E-1,7.667724319E-2,7.639963201E-1,1.565614795E0,1.743765885E0
7.226470417E-1,2.639087429E-1,6.410875547E-1,1.942753773E0,2.062748967E0
7.326060417E-1,2.980508544E-2,3.826800916E-1,1.740301532E0,1.782128452E0
7.425650417E-1,-1.562229842E-2,1.630759209E-2,1.289696383E0,1.289894086E0
7.525230417E-1,-4.631111741E-2,-7.924351305E-2,8.178944921E-1,8.230283435E-1
7.624820417E-1,-8.676142439E-2,-4.245663285E-2,4.181776607E-1,4.291883810E-1
7.724410417E-1,-4.669915326E-2,8.055504352E-2,3.591242909E-2,9.979793843E-2
7.824000417E-1,-1.872003633E-1,1.686114800E-1,-3.059228146E-1,3.963112107E-1
7.923580417E-1,5.087977358E-1,4.008295566E-2,-5.360183519E-1,7.401334021E-1
8.023170417E-1,7.363014948E-2,2.673902482E-1,-1.519007224E-1,3.162163392E-1
8.122760417E-1,9.855723180E-2,4.464702907E-1,1.647289288E-1,4.859885476E-1
8.222350417E-1,2.290508591E-1,3.059646222E-1,5.459597880E-1,6.664463491E-1
8.321940417E-1,-2.281329194E-1,4.632500455E-1,5.204822999E-1,7.331760076E-1
8.421520417E-1,-1.596347614E-1,3.475716546E-1,1.372610486E-1,4.063617940E-1
8.521110417E-1,2.197496932E-2,2.825728360E-1,-1.609685844E-1,3.259466092E-1
8.620700417E-1,-1.232272924E-1,3.366180655E-1,-5.781644976E-1,6.802726468E-1
8.720290417E-1,-3.416729469E-1,3.373700175E-1,-7.559198534E-1,8.955298745E-1
8.819870417E-1,-5.090336709E-1,3.445743719E-1,-7.970784044E-1,1.006568805E0
8.919460417E-1,-1.048292477E-1,1.655522168E-1,-1.059156457E0,1.077130033E0
9.019050417E-1,-1.886348315E-3,8.187797606E-2,-7.765043914E-1,7.808115209E-1
9.118640417E-1,-1.586120103E-1,2.078685164E-1,-4.991241753E-1,5.634643133E-1
9.218220417E-1,-8.237550102E-2,1.537709543E-1,-3.776418382E-1,4.159862828E-1
9.317810417E-1,2.047442760E-2,6.330663443E-2,-3.078939110E-1,3.150009406E-1
9.417400417E-1,-8.024349656E-2,7.656227231E-2,-2.701062799E-1,2.919900729E-1
9.516990417E-1,-7.609179072E-2,1.019394806E-1,-2.709482789E-1,2.993235510E-1
9.616580417E-1,-1.494618122E-1,1.783795461E-1,-3.812811452E-1,4.466916246E-1
9.716160417E-1,-2.094301616E-1,2.450243559E-1,-6.801615733E-1,7.526736965E-1
9.815750417E-1,-3.657168073E-1,3.810411170E-1,-7.803764176E-1,9.422995645E-1
9.915340417E-1,-5.128543147E-1,2.270631713E-1,-1.145430370E0,1.275377577E0
1.001493042E0,-3.622862094E-1,2.451918787E-1,-1.349061409E0,1.418216147E0
1.011451042E0,-9.627583098E-2,7.146583915E-2,-1.228565497E0,1.234402521E0
1.021410042E0,1.751214410E-1,9.597649008E-2,-1.139506556E0,1.156872593E0
1.031369042E0,-3.074041336E-1,2.758093616E-1,-8.034349126E-1,9.033691184E-1
1.041328042E0,-4.136694940E-1,2.393689290E-1,-8.739575958E-1,9.961033148E-1
1.051287042E0,-4.770518498E-1,2.606621495E-1,-9.348382205E-1,1.081409137E0
1.061245042E0,-4.562721245E-1,3.384499982E-1,-1.004965047E0,1.154420807E0
1.071204042E0,-3.868628242E-1,4.448868647E-1,-1.044196941E0,1.199139032E0
1.081163042E0,-2.838423396E-1,5.440673366E-1,-1.064996071E0,1.229142942E0
1.091122042E0,-2.549307087E-1,5.576656213E-1,-1.066022843E0,1.229790760E0
1.101080042E0,-2.720976588E-1,5.615823787E-1,-1.126963109E0,1.288199423E0
1.111039042E0,-2.467087561E-1,6.014732534E-1,-1.159341481E0,1.329175667E0
1.120998042E0,-2.033539178E-1,6.723453078E-1,-1.165689218E0,1.360967443E0
1.130957042E0,-1.481583216E-1,7.470809099E-1,-1.124730642E0,1.358344504E0
1.140915042E0,-1.008918057E-1,7.974643207E-1,-9.861142087E-1,1.272222359E0
1.150874042E0,-1.002634859E-1,8.595026940E-1,-8.317904001E-1,1.200280349E0
1.160833042E0,-1.064294113E-1,8.931806096E-1,-6.804849243E-1,1.127900064E0
1.170792042E0,-8.307888452E-2,9.421837851E-1,-5.870756543E-1,1.113225139E0
1.180751042E0,8.016605750E-3,1.106085918E0,-5.552814192E-1,1.237670302E0
1.190709042E0,2.256018790E-1,1.317283839E0,-5.024962646E-1,1.427807906E0
1.200668042E0,4.022031041E-1,1.463990187E0,-4.599741429E-1,1.586382935E0
1.210627042E0,4.254505737E-1,1.556361576E0,-4.410373503E-1,1.672657613E0
1.220586042E0,3.442110405E-1,1.611122505E0,-3.920587331E-1,1.693489598E0
1.230544042E0,2.825551116E-1,1.565846345E0,-3.085078686E-1,1.620768112E0
1.240504542E0,1.198993497E-1,1.534593562E0,-2.655863822E-1,1.562014526E0
1.250463542E0,-1.092969590E-1,1.520807582E0,-3.014613891E-1,1.554245957E0
1.260422542E0,-2.614769224E-1,1.473371460E0,-3.614696091E-1,1.539432986E0
1.270380542E0,-2.948185501E-1,1.436110078E0,-4.689414328E-1,1.539232342E0
1.280339542E0,-3.028110361E-1,1.471296283E0,-5.596861267E-1,1.603014609E0
1.290298542E0,-6.018549669E-1,1.610320852E0,-5.563935596E-1,1.806913512E0
1.300257542E0,-3.496823533E-1,1.427000408E0,-5.138983351E-1,1.556502301E0
1.310215542E0,4.682930863E-1,1.190296348E0,-3.331989062E-1,1.321788683E0
1.320174542E0,1.180309084E0,8.991143641E-1,9.456701875E-2,1.486768003E0
1.330133542E0,8.709005984E-1,1.015641186E0,9.091999340E-1,1.617602977E0
1.340092542E0,1.959051680E-1,1.003812269E0,1.183889846E0,1.564484923E0
1.350051542E0,-2.297250431E-2,5.647960085E-1,1.409177803E0,1.518322873E0
1.360009542E0,-1.489524466E-1,2.291807404E-1,1.843066932E0,1.863224720E0
1.369968542E0,-3.711328639E-1,-1.828336626E-2,2.035136856E0,2.068781262E0
1.379927542E0,-7.268344872E-1,-2.688698861E-1,1.949337738E0,2.097736161E0
1.389886542E0,-1.010380154E0,-4.634207842E-1,1.835920465E0,2.146213138E0
1.399844542E0,-1.161178384E0,-6.813506046E-1,1.653193806E0,2.132046821E0
1.409803542E0,-1.273418758E0,-8.705919385E-1,1.543022908E0,2.181844484E0
1.419762542E0,-1.362502404E0,-9.883732805E-1,1.588821225E0,2.314659246E0
1.429721542E0,-1.414257425E0,-1.045431873E0,1.760373269E0,2.488366113E0
1.439679542E0,-1.322807996E0,-1.049280510E0,2.094777287E0,2.690520853E0
1.449638542E0,-1.095456264E0,-9.627613065E-1,2.452605835E0,2.853455649E0
1.459597542E0,-8.789053635E-1,-8.682372648E-1,2.687394932E0,2.957769786E0
1.469556542E0,-6.891009428E-1,-8.515215370E-1,2.645190314E0,2.863036995E0
1.479514542E0,-5.259210145E-1,-8.972850627E-1,2.307576175E0,2.531130420E0
1.489473542E0,-3.825101569E-1,-8.818811578E-1,1.842564656E0,2.078237934E0
1.499432542E0,-2.295494074E-1,-8.012775823E-1,1.268431814E0,1.517780604E0
1.509391542E0,-1.478712964E-1,-7.252503303E-1,6.112936521E-1,9.599655676E-1
1.519349542E0,-1.808858089E-1,-6.752235997E-1,-8.317021072E-2,7.039629744E-1
1.529308542E0,-2.238497974E-1,-6.439331022E-1,-7.293904513E-1,9.983831941E-1
1.539267542E0,-3.272871884E-1,-5.337250739E-1,-1.207848228E0,1.360469294E0
1.549226542E0,-7.014061157E-1,-2.010562178E-1,-1.367408803E0,1.549903537E0
1.559185542E0,-4.287319580E-1,-3.250449640E-1,-1.818027400E0,1.895966495E0
1.569143542E0,-7.402337473E-2,-4.419050771E-1,-1.969486658E0,2.019811192E0
1.579102542E0,2.238643058E-3,-4.437662458E-1,-1.978745139E0,2.027896895E0
1.589061542E0,-2.105280859E-1,-6.955263019E-3,-1.700408903E0,1.713406224E0
1.599020542E0,-3.065343237E-1,1.310001424E-1,-1.499934191E0,1.536530802E0
1.608978542E0,-1.764503669E-1,1.322897458E-1,-1.286882703E0,1.305642524E0
1.618937542E0,-4.504541449E-2,5.060706675E-2,-8.876722401E-1,8.902539921E-1
