"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.050063133E-3,6.250126115E1,2.543289073E1,1.737831785E2,1.934329290E2,NaN,NaN,2.423236384E-4,1.978325988E1,3.000000000E1,-1.000000000E0
5.738973618E-3,6.250126063E1,2.543288615E1,1.737831785E2,1.934329299E2,NaN,NaN,2.638379341E-4,1.856695756E1,3.000000000E1,-1.000000000E0
3.781902790E-2,6.250126080E1,2.543288595E1,1.737831785E2,1.934329298E2,NaN,NaN,2.280772492E-3,1.856724591E1,3.000012055E1,-1.000000000E0
1.031607032E0,6.250126732E1,2.543292261E1,1.737831785E2,1.934329204E2,NaN,NaN,4.133285458E-3,1.442052278E1,3.015990199E1,-1.000000000E0
1.332803011E0,6.250127329E1,2.543295629E1,1.737831785E2,1.934329118E2,NaN,NaN,6.495710286E-3,1.998556333E1,3.049023559E1,-1.000000000E0
3.336813688E0,6.250125554E1,2.543298155E1,1.786176845E2,1.982674306E2,0.000000000E0,NaN,8.437087949E-3,2.345841820E1,5.425616455E1,-1.000000000E0
4.336799979E0,6.250124854E1,2.543301620E1,1.794903916E2,1.991401402E2,0.000000000E0,NaN,1.174603840E-2,2.152981857E1,4.544342041E1,-1.000000000E0
5.336786747E0,6.250122266E1,2.543304801E1,1.786523557E2,1.983021236E2,0.000000000E0,NaN,1.220485223E-2,2.017372800E1,4.723603821E1,-1.000000000E0
6.336772323E0,6.250121878E1,2.543305108E1,1.787812989E2,1.984310698E2,0.000000000E0,NaN,1.273859210E-2,1.806568650E1,5.726251602E1,-1.000000000E0
7.336759210E0,6.250122206E1,2.543304349E1,1.821085929E2,2.017583618E2,0.000000000E0,NaN,1.364861656E-2,1.186445633E1,2.610858154E1,-1.000000000E0
8.336745501E0,6.250121409E1,2.543304751E1,1.821250570E2,2.017748323E2,0.000000000E0,NaN,1.516097086E-2,1.294341654E1,3.046033669E1,-1.000000000E0
9.336797357E0,6.250122769E1,2.543304767E1,1.841715256E2,2.038212892E2,8.524894714E-1,2.005435065E1,1.731174938E-2,6.079604121E0,7.913602352E0,-1.000000000E0
1.038949060E1,6.250124507E1,2.543302931E1,1.845216207E2,2.041713711E2,6.116704941E-1,3.235684913E2,1.822845566E-2,4.701867860E0,5.870370388E0,-1.000000000E0
1.195351708E1,6.250125128E1,2.543301755E1,1.847496299E2,2.043993761E2,6.116704941E-1,3.373149710E1,1.949352655E-2,4.238742428E0,5.753790379E0,-1.000000000E0
1.295355797E1,6.250125004E1,2.543304204E1,1.833824224E2,2.030321671E2,7.405721545E-1,5.301763588E1,2.086522309E-2,3.895145933E0,4.933631420E0,-1.000000000E0
1.395359385E1,6.250124990E1,2.543306876E1,1.745100000E2,1.941597421E2,9.176165462E-1,4.804412777E1,2.220785834E-2,3.270351806E0,3.000000000E1,-1.000000000E0
1.495364344E1,6.250125180E1,2.543309458E1,1.832335333E2,2.028832711E2,9.176165462E-1,3.105863576E1,2.308018863E-2,2.922515053E0,3.664459467E0,-1.000000000E0
1.595369422E1,6.250125847E1,2.543310353E1,1.832336403E2,2.028833714E2,9.176165462E-1,3.105864391E1,2.448250891E-2,2.960820665E0,5.906589864E0,-1.000000000E0
1.695373285E1,6.250126630E1,2.543312493E1,1.838556540E2,2.035053762E2,1.013544083E0,4.498138424E1,2.605996655E-2,3.388607933E0,5.822454063E0,-1.000000000E0
1.795378292E1,6.250127263E1,2.543315243E1,1.834614291E2,2.031111430E2,1.394325733E0,5.465955098E1,2.770080446E-2,3.649521093E0,5.738605697E0,-1.000000000E0
1.895383346E1,6.250127775E1,2.543318241E1,1.834978216E2,2.031475279E2,1.472652555E0,5.801382465E1,2.953778509E-2,4.037995817E0,5.987197346E0,-1.000000000E0
1.995386982E1,6.250128280E1,2.543321647E1,1.838099699E2,2.034596684E2,1.450319052E0,5.893558588E1,3.103022407E-2,4.291996522E0,6.383842832E0,-1.000000000E0
2.095390999E1,6.250128751E1,2.543324369E1,1.837579719E2,2.034076635E2,1.472652555E0,6.158509913E1,3.258564860E-2,4.456821222E0,6.383471862E0,-1.000000000E0
2.195394897E1,6.250128977E1,2.543327358E1,1.840176733E2,2.036673599E2,1.312047720E0,6.902488148E1,3.393293007E-2,4.562916644E0,6.394826992E0,-1.000000000E0
2.295397854E1,6.250129026E1,2.543329980E1,1.840521284E2,2.037018118E2,1.312047720E0,6.874317712E1,3.560913030E-2,4.582877978E0,6.389783790E0,-1.000000000E0
2.395400190E1,6.250129130E1,2.543333237E1,1.839035108E2,2.035531900E2,1.283649802E0,7.455369443E1,3.753679672E-2,4.752277611E0,6.347570872E0,-1.000000000E0
2.495402527E1,6.250129020E1,2.543336984E1,1.852813616E2,2.049310380E2,1.283649802E0,8.629731070E1,3.920954153E-2,4.750940312E0,7.179857472E0,-1.000000000E0
2.595404589E1,6.250128609E1,2.543340118E1,1.849143275E2,2.045640043E2,1.391669750E0,9.876694964E1,4.087329680E-2,4.750096269E0,7.076271757E0,-1.000000000E0
